"Id","Kode_Provinsi","Provinsi","Kabupaten_Kota","Jenis_Rumput_Laut","Tahun","Volume_Produksi_Kg","Nilai_Produksi_Rp","Total_Luas_Lahan_m2","Kode_Luas_Tanah"
1,51,BALI,BULELENG,RUMPUT LAUT COTTONII,2019,40.0,81.0,10751000,2
2,51,BALI,KLUNGKUNG,RUMPUT LAUT COTTONII,2019,465.0,676.0,10751000,2
3,51,BALI,KLUNGKUNG,RUMPUT LAUT SPINOSUM,2019,36.0,66.0,10751000,2
4,51,BALI,KOTA DENPASAR,RUMPUT LAUT COTTONII,2019,307.0,460.0,10751000,2
5,36,BANTEN,PANDEGLANG,RUMPUT LAUT COTTONII,2019,30.0,60.0,952050000,3
6,36,BANTEN,PANDEGLANG,RUMPUT LAUT SPINOSUM,2019,52.0,156.0,952050000,3
7,36,BANTEN,SERANG,RUMPUT LAUT COTTONII,2019,11905.0,17858.0,952050000,3
8,36,BANTEN,SERANG,RUMPUT LAUT SPINOSUM,2019,10016.0,15024.0,952050000,3
9,36,BANTEN,TANGERANG,RUMPUT LAUT GRACILARIA,2019,431.0,1724.0,952050000,3
10,17,BENGKULU,KAUR,RUMPUT LAUT COTTONII,2019,60.0,1500.0,20000000,4
11,31,DKI JAKARTA,ADM KEP SERIBU,RUMPUT LAUT COTTONII,2019,253.0,2028.0,50000.0,6
12,75,GORONTALO,GORONTALO UTARA,RUMPUT LAUT COTTONII,2019,7196.0,35982.0,413500000,7
13,75,GORONTALO,GORONTALO UTARA,RUMPUT LAUT SPINOSUM,2019,2100.0,10500.0,413500000,7
14,75,GORONTALO,PAHUWATO,RUMPUT LAUT COTTONII,2019,7.0,21.0,413500000,7
15,75,GORONTALO,PAHUWATO,RUMPUT LAUT SPINOSUM,2019,25.0,75.0,413500000,7
16,33,JAWA TENGAH,BREBES,RUMPUT LAUT COTTONII,2019,10559.0,10559.0,1696000000,10
17,33,JAWA TENGAH,JEPARA,RUMPUT LAUT COTTONII,2019,6543.0,9815.0,1696000000,10
18,33,JAWA TENGAH,JEPARA,RUMPUT LAUT SPINOSUM,2019,10065.0,18118.0,1696000000,10
19,35,JAWA TIMUR,BANYUWANGI,RUMPUT LAUT COTTONII,2019,1027.0,2260.0,198467900,11
20,35,JAWA TIMUR,BANYUWANGI,RUMPUT LAUT SPINOSUM,2019,1714.0,3771.0,198467900,11
21,35,JAWA TIMUR,PACITAN,RUMPUT LAUT COTTONII,2019,1.0,5.0,198467900,11
22,35,JAWA TIMUR,PACITAN,RUMPUT LAUT SPINOSUM,2019,55.0,278.0,198467900,11
23,35,JAWA TIMUR,PAMEKASAN,RUMPUT LAUT COTTONII,2019,403.0,1413.0,198467900,11
24,35,JAWA TIMUR,PAMEKASAN,RUMPUT LAUT SPINOSUM,2019,331.0,653.0,198467900,11
25,35,JAWA TIMUR,SITUBONDO,RUMPUT LAUT COTTONII,2019,51.0,72.0,198467900,11
26,35,JAWA TIMUR,SUMENEP,RUMPUT LAUT COTTONII,2019,670453.0,3352265.0,198467900,11
27,61,KALIMANTAN BARAT,BENGKAYANG,RUMPUT LAUT SPINOSUM,2019,20.0,500.0,2000000.0,12
