id,Kode_Provinsi,Provinsi,Kabupaten_Kota,Jenis_Budidaya_Rumput_Laut,Tahun,Volume_Produksi_Kg,Nilai_Produksi_Rp
1.,51.,BALI,BULELENG,RUMPUT LAUT COTTONII,2019.,40500.,81000000.
2.,51.,BALI,KLUNGKUNG,RUMPUT LAUT COTTONII,2019.,465862.,676603000.
3.,51.,BALI,KLUNGKUNG,RUMPUT LAUT SPINOSUM,2019.,36300.,66622500.
4.,51.,BALI,KOTA DENPASAR,RUMPUT LAUT COTTONII,2019.,307000.,460500000.
5.,36.,BANTEN,PANDEGLANG,RUMPUT LAUT COTTONII,2019.,30140.,60280000.
6.,36.,BANTEN,PANDEGLANG,RUMPUT LAUT SPINOSUM,2019.,52200.,156600000.
7.,36.,BANTEN,SERANG,RUMPUT LAUT COTTONII,2019.,11905620.,17858430000.
8.,36.,BANTEN,SERANG,RUMPUT LAUT SPINOSUM,2019.,10016502.,15024753000.
9.,36.,BANTEN,TANGERANG,RUMPUT LAUT GRACILARIA,2019.,431104.,1724416000.
10.,17.,BENGKULU,KAUR,RUMPUT LAUT COTTONII,2019.,60000.,1500000000.
11.,31.,DKI JAKARTA,ADM. KEP. SERIBU,RUMPUT LAUT COTTONII,2019.,253615.,2028920000.
12.,75.,GORONTALO,GORONTALO UTARA,RUMPUT LAUT COTTONII,2019.,7196458.,35982290000.
13.,75.,GORONTALO,GORONTALO UTARA,RUMPUT LAUT SPINOSUM,2019.,2100000.,10500000000.
14.,75.,GORONTALO,PAHUWATO,RUMPUT LAUT COTTONII,2019.,7244.,21732000.
15.,75.,GORONTALO,PAHUWATO,RUMPUT LAUT SPINOSUM,2019.,25168.,75504000.
16.,33.,JAWA TENGAH,BREBES,RUMPUT LAUT COTTONII,2019.,10559612.,10559612000.
17.,33.,JAWA TENGAH,JEPARA,RUMPUT LAUT COTTONII,2019.,6543600.,9815400000.
18.,33.,JAWA TENGAH,JEPARA,RUMPUT LAUT SPINOSUM,2019.,10065600.,18118080000.
19.,35.,JAWA TIMUR,BANYUWANGI,RUMPUT LAUT COTTONII,2019.,1027600.,2260720000.
20.,35.,JAWA TIMUR,BANYUWANGI,RUMPUT LAUT SPINOSUM,2019.,1714400.,3771680000.
21.,35.,JAWA TIMUR,PACITAN,RUMPUT LAUT COTTONII,2019.,1125.,5625000.
22.,35.,JAWA TIMUR,PACITAN,RUMPUT LAUT SPINOSUM,2019.,55600.,278000000.
